Qty,Reference Designators,Mfr,Mfr Part Number,Description,Dist,Dist Part Number,Cost Ea.,Cost Total
1,C18,Samsung Electro-Mechanics,CL31A106KBHNNNE,CAP CER 10UF 50V X5R 1206,Digi-Key,1276-2876-1-ND,$0.09,$0.09
1,C19,TDK Corporation,C3216JB1C336M160AB,CAP CER 33UF 16V JB 1206,Digi-Key,445-11694-1-ND,$1.05,$1.05
5,"C1,C6,C7,C9,C12",YAGEO,CC0603KRX7R7BB104,CAP CER 0.1UF 16V X7R 0603,Digi-Key,311-1088-1-ND,$0.08,$0.40
2,"C11,C13",Murata Electronics,GCM188R72A103KA37D,CAP CER 10000PF 100V X7R 0603,Digi-Key,490-4781-1-ND,$0.10,$0.20
2,"C2,C14",YAGEO,CC0603KRX7R8BB473,CAP CER 0.047UF 25V X7R 0603,Digi-Key,311-1373-1-ND,$0.10,$0.20
7,"C5,C10,C15,C16,C17,C20,C21",Murata Electronics,GCM188R71C105KA64D,CAP CER 1UF 16V X7R 0603,Digi-Key,490-5241-1-ND,$0.15,$1.05
1,D3,Littelfuse Inc.,SP0503BAHTG,TVS DIODE 5.5VWM 8.5VC SOT1434,Digi-Key,F2715CT-ND,$0.60,$0.60
1,D4,Lite-On Inc.,LTST-C191KGKT,LED GREEN CLEAR SMD,Digi-Key,160-1446-1-ND,$0.15,$0.15
1,D5,Lite-On Inc.,LTST-C191KSKT,LED YELLOW CLEAR SMD,Digi-Key,160-1448-1-ND,$0.15,$0.15
1,D6,Lite-On Inc.,LTST-C190KRKT,LED RED CLEAR CHIP SMD,Digi-Key,160-1436-1-ND,$0.14,$0.14
1,D7,Diotec Semiconductor,BAS40-04,DIODE ARR SCHOTT 40V 200MA SOT23,Digi-Key,4878-BAS40-04CT-ND,$0.12,$0.12
1,J1,JST Sales America Inc.,B3B-EH-A,CONN HEADER VERT 3POS 2.5MM,Digi-Key,455-B3B-EH-A-ND,$0.11,$0.11
1,J2,Molex,732511153,SMA JACK EDGE MOUNT 50 OHM,Digi-Key,900-0732511153-ND,$3.83,$3.83
1,J3,Molex,1054500101,CONN RCP USB3.1 TYPEC 24P SMD RA,Digi-Key,WM12856CT-ND,$2.40,$2.40
1,J4,JST Sales America Inc.,B3B-EH-A,CONN HEADER VERT 3POS 2.5MM,Digi-Key,455-B3B-EH-A-ND,$0.11,$0.11
1,J5,Würth Elektronik,61300621121,CONN HEADER VERT 6POS 2.54MM,Digi-Key,732-5295-ND,$0.51,$0.51
1,J6,Molex,1040310811,CONN MICRO SD CARD R/A SMD,Digi-Key,WM6357CT-ND,$2.04,$2.04
1,J7,Würth Elektronik,61300211121,CONN HEADER VERT 2POS 2.54MM,Digi-Key,732-5315-ND,$0.12,$0.12
1,L1,Vishay Dale,TNPW120650R0BEEN,RES 50 OHM 0.1% 0.52W 1206,Digi-Key,541-TNPW120650R0BEENCT-ND,$0.62,$0.62
1,L2,Coilcraft,LPS3015-332MRC,FIXED IND 3.3UH 1.4A 130MOHM SMD,Digi-Key,2457-LPS3015-332MRC-ND,$1.43,$1.43
1,R1,YAGEO,RC0603FR-0747KL,RES 47K OHM 1% 1/10W 0603,Digi-Key,311-47.0KHRCT-ND,$0.10,$0.10
1,R2,Stackpole Electronics Inc,RMCF0603FT220K,RES 220K OHM 1% 1/10W 0603,Digi-Key,RMCF0603FT220KCT-ND,$0.10,$0.10
