"Position","Name","Type","Signal","Label"
"A1","VSSSMPS","Power","",""
"A2","VDDSMPS","Power","",""
"A4","PA14","I/O","DEBUG_JTCK-SWCLK",""
"A5","VDDA","Power","",""
"A7","VDD","Power","",""
"A8","VBAT","Power","",""
"A9","PA12","I/O","",""
"B1","VLXSMPS","Power","",""
"B2","VFBSMPS","Power","",""
"B3","PA15","I/O","I2C2_SDA",""
"B4","PB15","I/O","I2C2_SCL",""
"B5","VREF+","MonoIO","",""
"B6","PC14-OSC32_IN","I/O","",""
"B7","VSS","Power","",""
"B8","PA13","I/O","DEBUG_JTMS-SWDIO",""
"B9","PA11","I/O","",""
"C1","PB3","Output","GPIO_Output",""
"C2","PB4","Output","GPIO_Output",""
"C3","PB7","I/O","USART1_RX",""
"C4","PB9","I/O","SPI2_NSS",""
"C5","PC15-OSC32_OUT","I/O","",""
"C6","PB14","I/O","SPI2_MISO",""
"C7","PC13","I/O","",""
"C8","PA10","I/O","SPI2_MOSI",""
"D2","PB5","Output","GPIO_Output",""
"D3","PB8","I/O","",""
"D4","PC2","I/O","",""
"D5","PC3","I/O","",""
"D6","PA0","I/O","",""
"D7","PB13","I/O","SPI2_SCK",""
"D8","PB2","I/O","",""
"D9","VSS","Power","",""
"E1","PB6","I/O","USART1_TX",""
"E2","VDD","Power","",""
"E3","VSS","Power","",""
"E4","PC5","I/O","",""
"E5","PA9","Output","GPIO_Output",""
"E6","PB12","I/O","",""
"E7","PB1","I/O","",""
"E8","VDDRF","Power","",""
"E9","VDD","Power","",""
"F1","PC1","I/O","LPUART1_TX",""
"F2","PC0","I/O","LPUART1_RX",""
"F3","PC4","I/O","",""
"F4","PA6","I/O","",""
"F5","NRST","Reset","",""
"F6","PB0-VDD_TCXO","I/O","",""
"F7","VDDRF1V55","Power","",""
"F8","OSC_OUT","MonoIO","",""
"G2","PC6","I/O","",""
"G3","PA1","I/O","",""
"G4","PB11","I/O","",""
"G5","VSS","Power","",""
"G6","VSSRF","Power","",""
"G7","VSSRF","Power","",""
"G8","VSSRF","Power","",""
"G9","OSC_IN","MonoIO","",""
"H1","PA3","I/O","USART2_RX",""
"H2","PA2","I/O","USART2_TX",""
"H3","PA7","I/O","",""
"H4","PB10","Output","GPIO_Output",""
"H5","VDD","Power","",""
"H6","VSSRF","Power","",""
"H7","RFI_N","MonoIO","",""
"H8","VDDPA","Power","",""
"H9","VR_PA","Power","",""
"J1","PA4","I/O","",""
"J2","PA5","I/O","",""
"J3","PA8","I/O","",""
"J5","PH3-BOOT0","I/O","",""
"J6","RFI_P","MonoIO","",""
"J8","RFO_LP","MonoIO","",""
"J9","RFO_HP","MonoIO","",""
