Designator,Mid X,Mid Y,Rotation,Layer
C1,139.433,-108.712,0.0,top
C10,146.65,-97.48,180.0,top
C11,118.55,-108.98,0.0,top
C12,149.2,-116.264,0.0,top
C13,163.4,-96.761,90.0,bottom
C14,136.966,-89.409,270.0,top
C15,143.51,-90.932,90.0,top
C16,143.51,-94.501,270.0,top
C17,149.098,-91.948,270.0,top
C18,130.2,-97.875,270.0,top
C19,136.588,-97.348,270.0,top
C2,136.8,-112.0,90.0,top
C20,118.522,-92.603,0.0,top
C21,123.297,-92.603,180.0,top
C5,129.74,-107.948,270.0,top
C6,128.24,-107.948,270.0,top
C7,136.398,-106.975,270.0,top
C9,146.65,-95.98,180.0,top
D3,125.222,-106.68,270.0,top
D4,112.8,-97.6,180.0,top
D5,112.8,-96.0,180.0,top
D6,122.2125,-100.0,180.0,top
D7,124.0,-112.4,90.0,top
J1,123.9,-118.33,0.0,top
J2,172.63147,-105.22146,180.0,top
J3,111.311,-104.392,270.0,top
J4,158.2,-118.1,0.0,top
J5,151.44,-86.5,270.0,top
J7,129.56,-85.4,180.0,top
J8,140.8,-118.2,0.0,top
L2,133.35,-93.424,0.0,top
R1,133.5375,-113.4,0.0,top
R10,138.466,-89.409,270.0,top
R11,138.466,-92.409,270.0,top
R12,141.478,-95.187,90.0,top
R13,115.887,-96.012,0.0,top
R14,115.887,-97.536,0.0,top
R15,124.523,-98.806,90.0,top
R16,126.3135,-96.451,0.0,top
R17,127.724,-98.8,270.0,top
R18,126.2,-98.8,90.0,top
R19,122.237,-98.044,0.0,top
R2,151.8,-117.225,270.0,top
R21,128.0,-93.6,0.0,top
R22,111.8,-93.2,0.0,top
R23,133.2,-89.6,0.0,top
R3,132.6,-111.0,180.0,top
R4,119.634,-103.124,180.0,top
R5,119.634,-106.172,180.0,top
R6,164.925,-97.98,270.0,top
R7,146.65,-103.98,180.0,top
R8,146.65,-102.48,180.0,top
R9,154.65,-92.23,90.0,top
SW1,165.2,-113.0,180.0,top
U1,128.53,-113.35,180.0,top
U2,140.175,-111.6275,270.0,top
U3,130.24,-103.944,0.0,top
U4,155.9,-101.48,0.0,top
U5,149.544,-112.764,90.0,top
U6,146.4105,-92.009,0.0,top
U7,140.712,-92.224,270.0,top
U8,133.35,-97.349,270.0,top
U9,120.797,-95.353,270.0,top
